epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,18.4594,1.48159,2.127,1.24906,0.56015,0.22827,0.1653,0.10339,1.49147,2.76024,1.24141,0.000600967,0.000600967,0.000600967
7,21.2245,1.47093,2.099,1.25477,0.63844,0.24863,0.21789,0.14119,1.46313,2.60261,1.23707,0.00058776,0.00058776,0.00058776
8,23.9708,1.40793,2.0037,1.21294,0.67158,0.25511,0.24808,0.14995,1.41326,2.39967,1.21862,0.000574554,0.000574554,0.000574554
9,26.7065,1.42507,1.89503,1.20647,0.69349,0.24747,0.28287,0.18081,1.30759,2.12653,1.18222,0.000561347,0.000561347,0.000561347
10,29.4582,1.35352,1.74334,1.17045,0.68477,0.26589,0.27803,0.18903,1.27535,1.9715,1.17512,0.000548141,0.000548141,0.000548141
11,32.1679,1.3316,1.70644,1.15922,0.6589,0.25218,0.26663,0.18517,1.27297,1.98887,1.17015,0.000534934,0.000534934,0.000534934
12,34.9639,1.28056,1.7245,1.14914,0.67097,0.2837,0.29367,0.19891,1.23984,1.91384,1.16119,0.000521727,0.000521727,0.000521727
13,37.7024,1.26804,1.76926,1.15191,0.81707,0.2469,0.29822,0.19932,1.20994,1.91597,1.14843,0.000508521,0.000508521,0.000508521
14,40.5513,1.23197,1.65511,1.14504,0.7781,0.26532,0.29823,0.20888,1.21922,1.88367,1.14041,0.000495314,0.000495314,0.000495314
15,43.3636,1.19917,1.62503,1.11841,0.73394,0.27814,0.30071,0.20801,1.18197,1.8228,1.1258,0.000482108,0.000482108,0.000482108
16,46.1506,1.22072,1.61152,1.09925,0.72016,0.2658,0.30337,0.20625,1.14226,1.81495,1.09968,0.000468901,0.000468901,0.000468901
17,48.9582,1.15575,1.52606,1.08303,0.69864,0.29902,0.30189,0.21013,1.10901,1.75755,1.0787,0.000455694,0.000455694,0.000455694
18,51.8002,1.1238,1.42509,1.06838,0.79663,0.29138,0.34013,0.24616,1.08482,1.63748,1.07751,0.000442488,0.000442488,0.000442488
19,54.6811,1.16356,1.47209,1.08508,0.73594,0.32714,0.3482,0.24879,1.05345,1.60576,1.08199,0.000429281,0.000429281,0.000429281
20,57.4947,1.19546,1.47506,1.09644,0.64858,0.3372,0.35394,0.25193,1.07562,1.60541,1.07784,0.000416075,0.000416075,0.000416075
21,60.3077,1.17392,1.50104,1.08578,0.60291,0.33437,0.34293,0.24458,1.06418,1.62746,1.06583,0.000402868,0.000402868,0.000402868
22,63.1549,1.10813,1.42527,1.05704,0.61728,0.31133,0.34479,0.23977,1.02195,1.60939,1.05941,0.000389661,0.000389661,0.000389661
23,65.9481,1.10742,1.3944,1.0682,0.63216,0.31467,0.35798,0.24798,1.02145,1.58696,1.05251,0.000376455,0.000376455,0.000376455
24,68.6888,1.0599,1.37409,1.05398,0.61831,0.33091,0.37207,0.25496,1.02261,1.57585,1.04718,0.000363248,0.000363248,0.000363248
25,71.5267,1.06926,1.35642,1.05396,0.63331,0.32865,0.37415,0.26086,0.99823,1.56379,1.04149,0.000350042,0.000350042,0.000350042
26,74.3265,1.08998,1.37215,1.06031,0.64711,0.36565,0.36819,0.27028,0.99488,1.50283,1.03879,0.000336835,0.000336835,0.000336835
27,77.1836,1.08565,1.34075,1.04763,0.64891,0.37148,0.36678,0.26795,1.00746,1.49281,1.04125,0.000323628,0.000323628,0.000323628
28,80.0617,1.04917,1.35705,1.01921,0.61587,0.38408,0.3671,0.25748,1.01161,1.48373,1.04411,0.000310422,0.000310422,0.000310422
29,82.911,1.05456,1.33753,1.04535,0.49328,0.38487,0.35673,0.2532,1.02889,1.48834,1.04408,0.000297215,0.000297215,0.000297215
30,85.7965,1.11398,1.33277,1.03803,0.68432,0.38108,0.36947,0.25432,1.01492,1.49911,1.04051,0.000284009,0.000284009,0.000284009
31,88.6491,1.02887,1.23714,1.02434,0.70954,0.35374,0.36606,0.2596,0.98348,1.52144,1.02601,0.000270802,0.000270802,0.000270802
32,91.4519,1.07,1.28955,1.05109,0.74064,0.34701,0.36724,0.26469,0.97135,1.46573,1.02226,0.000257595,0.000257595,0.000257595
33,94.3562,1.0563,1.28364,1.0456,0.62667,0.35908,0.36777,0.2627,0.96521,1.47624,1.01875,0.000244389,0.000244389,0.000244389
34,97.3994,1.02896,1.26061,1.00584,0.62845,0.3631,0.3803,0.27017,0.95928,1.46117,1.01757,0.000231182,0.000231182,0.000231182
35,100.219,0.99045,1.24125,1.01957,0.6558,0.37923,0.38036,0.27636,0.94812,1.43129,1.0134,0.000217976,0.000217976,0.000217976
36,103.029,0.98439,1.20791,1.02387,0.70053,0.35608,0.38823,0.2772,0.94554,1.41215,1.00752,0.000204769,0.000204769,0.000204769
37,105.863,1.03136,1.258,1.0146,0.7095,0.35887,0.38961,0.28073,0.93862,1.42387,1.00757,0.000191562,0.000191562,0.000191562
38,108.691,1.02611,1.25744,1.01705,0.72067,0.34334,0.39234,0.281,0.94809,1.43066,1.01012,0.000178356,0.000178356,0.000178356
39,111.468,1.01274,1.26803,1.01191,0.7967,0.35569,0.39248,0.27816,0.977,1.41921,1.01796,0.000165149,0.000165149,0.000165149
40,114.317,1.02694,1.24208,1.01531,0.78749,0.35302,0.38943,0.2704,0.98147,1.41379,1.02212,0.000151943,0.000151943,0.000151943
41,133.672,0.9962,1.33489,1.02227,0.67177,0.35546,0.3826,0.27315,0.97199,1.41756,1.02989,0.000138736,0.000138736,0.000138736
42,136.487,0.98421,1.30444,1.00735,0.69008,0.32815,0.37673,0.27175,0.96884,1.43715,1.03181,0.000125529,0.000125529,0.000125529
